hour,minute_start,count,jam_sum
0,0,1,0.017345
0,5,1,0.018413
0,10,1,0.017184
0,15,1,0.017337
0,20,1,0.016113
0,25,1,0.014993
0,30,1,0.016391
0,35,1,0.014364
0,40,1,0.016053
0,45,1,0.015636
0,50,1,0.01367
0,55,1,0.015065
1,0,1,0.013471
1,5,1,0.013286
1,10,1,0.013474
1,15,1,0.014035
1,20,1,0.012113
1,25,1,0.01336
1,30,1,0.013226
1,35,1,0.013326
1,40,1,0.0118
1,45,1,0.013375
1,50,1,0.01398
1,55,1,0.011964
2,0,1,0.012354
2,5,1,0.011657
2,10,1,0.012235
2,15,1,0.012984
2,20,1,0.01162
2,25,1,0.01192
2,30,1,0.012899
2,35,1,0.012251
2,40,1,0.010576
2,45,1,0.010877
2,50,1,0.01177
2,55,1,0.011472
3,0,1,0.011669
3,5,1,0.010586
3,10,1,0.011362
3,15,1,0.011802
3,20,1,0.011091
3,25,1,0.011491
3,30,1,0.011563
3,35,1,0.013128
3,40,1,0.011172
3,45,1,0.011588
3,50,1,0.01099
3,55,1,0.010918
4,0,1,0.011244
4,5,1,0.011369
4,10,1,0.01286
4,15,1,0.013097
4,20,1,0.011665
4,25,1,0.011769
4,30,1,0.01347
4,35,1,0.013324
4,40,1,0.012604
4,45,1,0.013902
4,50,1,0.014162
4,55,1,0.013571
5,0,1,0.015893
5,5,1,0.014874
5,10,1,0.016395
5,15,1,0.018041
5,20,1,0.060581
5,25,1,0.152082
5,30,1,0.167153
5,35,1,0.169443
5,40,1,0.165099
5,45,1,0.163098
5,50,1,0.189566
5,55,1,0.185139
6,0,1,0.18841
6,5,1,0.198247
6,10,1,0.198929
6,15,1,0.192021
6,20,1,0.198403
6,25,1,0.199926
6,30,1,0.196387
6,35,1,0.195859
6,40,1,0.189102
6,45,1,0.192742
6,50,1,0.184789
6,55,1,0.207279
7,0,1,0.219344
7,5,1,0.196155
7,10,1,0.183123
7,15,1,0.177607
7,20,1,0.15895
7,25,1,0.129197
7,30,1,0.097147
7,35,1,0.126669
7,40,1,0.137028
7,45,1,0.127091
7,50,1,0.140358
7,55,1,0.126002
8,0,1,0.11534
8,5,1,0.091118
8,10,1,0.125908
8,15,1,0.105025
8,20,1,0.10615
8,25,1,0.129719
8,30,1,0.144298
8,35,1,0.151008
8,40,1,0.169144
8,45,1,0.146321
8,50,1,0.153609
8,55,1,0.149448
9,0,1,0.144698
9,5,1,0.163203
9,10,1,0.156743
9,15,1,0.142629
9,20,1,0.136523
9,25,1,0.13355
9,30,1,0.148372
9,35,2,0.210191
9,40,1,0.073268
9,45,1,0.095856
9,50,2,0.183866
9,55,2,0.283807
10,0,2,0.213352
10,5,2,0.265011
10,10,1,0.085633
10,55,1,0.09474
11,10,1,0.113628
11,35,1,0.070136
11,40,1,0.092998
11,45,1,0.050383
11,50,1,0.079924
11,55,1,0.089871
12,0,1,0.110237
12,5,1,0.096974
12,10,1,0.052718
12,15,1,0.119513
12,20,1,0.106299
12,25,1,0.124838
12,30,1,0.103588
12,35,1,0.129817
12,40,1,0.127911
12,45,1,0.131839
12,50,1,0.154966
12,55,1,0.144304
13,0,1,0.096679
13,5,1,0.114776
13,10,1,0.139528
13,15,1,0.115364
13,20,1,0.11651
13,25,1,0.116764
13,30,1,0.092717
13,35,1,0.111559
13,40,1,0.074841
13,45,1,0.0854
13,50,1,0.029439
13,55,1,0.106037
14,0,1,0.097655
14,5,1,0.108721
15,30,1,0.117543
15,35,1,0.100336
16,40,1,0.109875
22,55,1,0.052824
23,0,1,0.082043
23,5,1,0.090251
23,10,1,0.082788
23,15,1,0.069955
23,20,1,0.067413
23,25,1,0.044244
23,30,1,0.033996
23,35,1,0.064568
23,40,1,0.044619
23,45,1,0.057527
23,50,1,0.025183
23,55,1,0.017682
