hour,minute_start,count,jam_sum
0,0,1,0.014513
0,5,1,0.016685
0,10,1,0.016791
0,15,1,0.019396
0,20,1,0.01456
0,25,1,0.014529
0,30,1,0.014117
0,35,1,0.014532
0,40,1,0.014019
0,45,1,0.014581
0,50,1,0.012882
0,55,1,0.012631
1,0,1,0.013766
1,5,1,0.011909
1,10,1,0.011465
1,15,1,0.014502
1,20,1,0.011896
1,25,1,0.011903
1,30,1,0.013438
1,35,1,0.012272
1,40,1,0.011433
1,45,1,0.012874
1,50,1,0.012437
1,55,1,0.011747
2,0,1,0.0119
2,5,1,0.01227
2,10,1,0.012977
2,15,1,0.009497
2,20,1,0.011157
2,25,1,0.010951
2,30,1,0.011733
2,35,1,0.012154
2,40,1,0.010308
2,45,1,0.009809
2,50,1,0.008581
2,55,1,0.010069
3,0,1,0.012465
3,5,1,0.009958
3,10,1,0.013234
3,15,1,0.011708
3,20,1,0.01112
3,25,1,0.011758
3,30,1,0.010196
3,35,1,0.012404
3,40,1,0.011796
3,45,1,0.013461
3,50,1,0.010351
3,55,1,0.009794
4,0,1,0.012506
4,5,1,0.011248
4,10,1,0.011109
4,15,1,0.014309
4,20,1,0.013811
4,25,1,0.013202
4,30,1,0.014606
4,35,1,0.016359
4,40,1,0.013886
4,45,1,0.015489
4,50,1,0.016822
4,55,1,0.015599
5,0,1,0.016864
5,5,1,0.019687
5,10,1,0.020454
5,15,1,0.01924
5,20,1,0.028018
5,25,1,0.033415
5,30,1,0.032874
5,35,1,0.034071
5,40,1,0.035232
5,45,1,0.038699
5,50,1,0.033227
5,55,1,0.032476
6,0,1,0.039386
6,5,1,0.038643
6,10,1,0.044293
6,15,1,0.040513
6,20,1,0.042392
6,25,1,0.042035
6,30,1,0.04157
6,35,1,0.040186
6,40,1,0.038969
6,45,1,0.038706
6,50,1,0.034343
6,55,1,0.035483
7,0,1,0.032042
7,5,1,0.038567
7,10,1,0.033831
7,15,1,0.030931
7,20,1,0.031758
7,25,1,0.026591
7,30,1,0.02292
7,35,1,0.022085
7,40,1,0.025254
7,45,1,0.028103
7,50,1,0.026984
7,55,1,0.026814
8,0,1,0.023948
8,5,1,0.028299
8,10,1,0.028985
8,15,1,0.02801
8,20,1,0.022444
8,25,1,0.032635
8,30,1,0.035779
8,35,1,0.037755
8,40,1,0.035403
8,45,1,0.03542
8,50,1,0.033899
8,55,1,0.031868
9,0,1,0.03071
9,5,1,0.029208
9,10,1,0.029165
9,15,1,0.03138
9,20,1,0.028715
9,25,1,0.030873
9,30,1,0.03346
9,35,2,0.136166
9,40,1,0.128221
9,45,1,0.098305
9,50,2,0.163547
9,55,2,0.195175
10,0,2,0.212309
10,5,2,0.143673
10,10,1,0.141558
10,55,1,0.035346
11,10,1,0.038713
11,35,1,0.082109
11,40,1,0.088773
11,45,1,0.092631
11,50,1,0.060664
11,55,1,0.094498
12,0,1,0.078313
12,5,1,0.097875
12,10,1,0.107087
12,15,1,0.093783
12,20,1,0.092634
12,25,1,0.072598
12,30,1,0.07722
12,35,1,0.104309
12,40,1,0.094753
12,45,1,0.067313
12,50,1,0.072879
12,55,1,0.120282
13,0,2,0.121979
13,5,2,0.102702
13,10,2,0.100838
13,15,2,0.098757
13,20,2,0.134231
13,25,2,0.106261
13,30,2,0.096546
13,35,2,0.122052
13,40,2,0.078467
13,45,2,0.124818
13,50,2,0.101189
13,55,2,0.133391
14,0,2,0.105012
14,5,2,0.100102
14,10,1,0.036173
14,25,1,0.034754
14,30,1,0.045717
14,35,1,0.038801
15,30,1,0.1291
15,35,1,0.122189
16,40,1,0.12315
22,55,1,0.017424
23,0,1,0.02055
23,5,1,0.020291
23,10,1,0.02059
23,15,1,0.0206
23,20,1,0.0204
23,25,1,0.018165
23,30,1,0.017665
23,35,1,0.017067
23,40,1,0.014885
23,45,1,0.018436
23,50,1,0.018257
23,55,1,0.014588
