hour,minute_start,count,jam_sum
9,45,1,0.071326
9,50,1,0.133736
9,55,1,0.070383
10,0,1,0.12916
10,5,1,0.114986
10,10,1,0.100942
11,25,1,0.104926
11,35,1,0.043372
11,40,1,0.063203
11,45,1,0.057117
11,50,1,0.058713
11,55,1,0.055748
12,0,1,0.072916
12,5,1,0.067843
12,10,1,0.08961
12,15,1,0.084941
12,20,1,0.079784
12,25,1,0.07924
12,30,1,0.038637
12,35,1,0.061954
12,40,1,0.072626
12,45,1,0.058544
12,50,1,0.04916
12,55,1,0.070927
13,0,1,0.05603
13,5,1,0.069856
13,10,1,0.035739
13,15,1,0.038203
13,20,1,0.077248
13,25,1,0.074176
13,30,1,0.055503
13,35,1,0.063291
13,40,1,0.030391
13,45,1,0.085624
13,50,1,0.049068
13,55,1,0.066011
14,0,1,0.072028
14,5,1,0.031486
15,10,1,0.068024
