hour,minute_start,count,jam_sum
9,45,1,0.056617
9,50,1,0.061978
9,55,1,0.033649
10,0,1,0.053965
10,5,1,0.087378
10,10,1,0.109576
11,25,1,0.016772
11,35,1,0.057368
11,40,1,0.049442
11,45,1,0.060266
11,50,1,0.061419
11,55,1,0.067734
12,0,1,0.06678
12,5,1,0.091752
12,10,1,0.06349
12,15,1,0.083714
12,20,1,0.090523
12,25,1,0.117943
12,30,1,0.084713
12,35,1,0.070017
12,40,1,0.093488
12,45,1,0.101657
12,50,1,0.114526
12,55,1,0.083528
13,0,1,0.072428
13,5,1,0.091108
13,10,1,0.084845
13,15,1,0.090095
13,20,1,0.080066
13,25,1,0.065961
13,30,1,0.085229
13,35,1,0.068911
13,40,1,0.057868
13,45,1,0.060947
13,50,1,0.062566
13,55,1,0.065356
14,0,1,0.081737
14,5,1,0.099946
15,10,1,0.109795
