hour,minute_start,count,jam_sum
11,25,1,0.128228
14,15,1,0.00645
14,20,1,0.007166
14,25,1,0.008429
14,30,1,0.008172
14,35,1,0.007845
14,40,1,0.008558
14,45,1,0.009046
14,50,1,0.008784
14,55,1,0.008591
15,0,1,0.008765
15,5,1,0.007036
15,10,1,0.007512
15,30,1,0.173099
15,35,1,0.211145
16,40,1,0.167994
16,55,1,0.188775
17,0,1,0.234526
17,10,1,0.231205
17,15,1,0.232436
17,20,1,0.243577
17,25,1,0.262228
17,30,1,0.217456
17,35,1,0.240771
17,40,1,0.269417
17,45,1,0.2486
17,50,1,0.227617
17,55,1,0.118617
