hour,minute_start,count,jam_sum
9,35,1,0.251552
9,40,1,0.254796
9,45,1,0.204385
9,50,1,0.219182
9,55,1,0.168707
10,0,1,0.208777
10,5,1,0.217542
10,10,1,0.216379
11,25,1,0.251439
11,35,1,0.180135
11,40,1,0.214406
11,45,1,0.182806
11,50,1,0.210466
11,55,1,0.200512
12,0,1,0.189558
12,5,1,0.232645
12,10,1,0.222044
12,15,1,0.181683
12,20,1,0.206701
12,25,1,0.18786
12,30,1,0.217951
12,35,1,0.212725
12,40,1,0.21723
12,45,1,0.183883
12,50,1,0.187294
12,55,1,0.179935
13,0,1,0.190595
13,5,1,0.209464
13,10,1,0.194702
13,15,1,0.205021
13,20,1,0.217588
13,25,1,0.224823
13,30,1,0.185406
13,35,1,0.178907
13,40,1,0.166013
13,45,1,0.195996
13,50,1,0.132123
13,55,1,0.208677
14,0,1,0.176714
14,5,1,0.212151
14,10,1,0.145338
14,15,2,0.238218
14,20,2,0.317359
14,25,2,0.302252
14,30,2,0.344945
14,35,2,0.276282
14,40,2,0.267203
14,45,2,0.25843
14,50,2,0.31314
14,55,2,0.299851
15,0,3,0.429063
15,5,3,0.390817
15,10,3,0.437926
15,15,2,0.356411
15,20,1,0.152263
15,25,1,0.141181
15,30,2,0.444008
15,35,2,0.386691
15,40,1,0.183008
15,45,1,0.222179
15,50,1,0.217815
15,55,1,0.232436
16,0,1,0.232227
16,5,1,0.254879
16,10,2,0.494515
16,15,2,0.565122
16,20,1,0.271466
16,25,1,0.269266
16,30,2,0.551691
16,35,2,0.537198
16,40,2,0.56697
16,45,1,0.23127
16,50,1,0.231801
16,55,2,0.52631
17,0,2,0.523984
17,5,1,0.244215
17,10,2,0.50791
17,15,2,0.539687
17,20,2,0.512114
17,25,2,0.509442
17,30,2,0.552336
17,35,2,0.546449
17,40,1,0.288863
17,45,1,0.290982
17,50,1,0.305903
17,55,1,0.295889
18,0,1,0.274583
18,5,1,0.275505
18,10,1,0.290033
18,15,1,0.301072
18,20,1,0.295487
18,25,1,0.295056
18,30,1,0.256354
18,35,1,0.285864
18,40,1,0.27147
18,45,1,0.291458
18,50,1,0.270443
18,55,1,0.260972
19,0,1,0.269358
19,5,1,0.258295
19,10,1,0.244065
19,15,1,0.189849
19,20,1,0.206419
19,25,1,0.178122
19,30,1,0.158796
19,35,1,0.158227
19,40,1,0.125394
19,45,1,0.176913
19,50,1,0.174352
19,55,1,0.137464
20,0,1,0.18963
20,5,1,0.189942
20,10,1,0.157893
20,15,1,0.15959
20,20,1,0.164104
20,25,1,0.129526
20,30,1,0.128912
20,35,1,0.146018
20,40,1,0.163857
20,45,1,0.150239
20,50,1,0.155361
20,55,1,0.130304
21,0,1,0.146071
21,5,1,0.146559
21,10,1,0.146202
21,15,1,0.132542
21,20,1,0.154887
21,25,1,0.130537
21,30,1,0.147594
21,35,1,0.161842
21,40,1,0.157895
21,45,1,0.153809
21,50,1,0.161768
21,55,1,0.154479
22,0,1,0.154523
22,5,1,0.164801
22,10,1,0.165764
22,15,1,0.165732
22,20,1,0.166375
22,25,1,0.155324
22,30,1,0.0812
22,35,1,0.081801
22,40,1,0.024438
22,45,1,0.017541
22,50,1,0.183112
