hour,minute_start,count,jam_sum
9,35,1,0.199463
9,40,1,0.17068
9,45,1,0.22328
9,50,1,0.19665
9,55,1,0.246519
10,0,1,0.203766
10,5,1,0.231829
10,10,1,0.204972
11,25,1,0.161489
11,35,1,0.148009
11,40,1,0.176249
11,45,1,0.247865
11,50,1,0.232991
11,55,1,0.195855
12,0,1,0.172771
12,5,1,0.175082
12,10,1,0.176337
12,15,1,0.210019
12,20,1,0.181228
12,25,1,0.188823
12,30,1,0.211492
12,35,1,0.186377
12,40,1,0.196616
12,45,1,0.186789
12,50,1,0.167343
12,55,1,0.159757
13,0,1,0.287414
13,5,1,0.267041
13,10,1,0.264236
13,15,1,0.278935
13,20,1,0.306421
13,25,1,0.323413
13,30,1,0.280436
13,35,1,0.258938
13,40,1,0.269697
13,45,1,0.243165
13,50,1,0.250177
13,55,1,0.188983
14,0,1,0.204121
14,5,1,0.225779
14,10,1,0.213026
14,15,2,0.341758
14,20,2,0.3575
14,25,2,0.332953
14,30,2,0.385955
14,35,2,0.398201
14,40,2,0.380018
14,45,2,0.446703
14,50,2,0.396641
14,55,2,0.421661
15,0,3,0.542851
15,5,3,0.647508
15,10,3,0.62432
15,15,2,0.451163
15,20,1,0.158388
15,25,1,0.161065
15,30,2,0.326924
15,35,2,0.388527
15,40,1,0.175415
15,45,1,0.1456
15,50,1,0.171351
15,55,1,0.187759
16,0,1,0.132916
16,5,1,0.17117
16,10,2,0.396167
16,15,2,0.442465
16,20,1,0.229343
16,25,1,0.182829
16,30,2,0.358038
16,35,2,0.463535
16,40,2,0.533267
16,45,1,0.188123
16,50,1,0.150653
16,55,2,0.380943
17,0,2,0.423356
17,5,1,0.280416
17,10,2,0.474843
17,15,2,0.526587
17,20,2,0.621342
17,25,2,0.67463
17,30,2,0.688156
17,35,2,0.673462
17,40,1,0.343637
17,45,1,0.351542
17,50,1,0.358904
17,55,1,0.320704
18,0,1,0.306547
18,5,1,0.267745
18,10,1,0.215557
18,15,1,0.080595
18,20,1,0.075445
18,25,1,0.071405
18,30,1,0.067231
18,35,1,0.05598
18,40,1,0.072043
18,45,1,0.06248
18,50,1,0.077274
18,55,1,0.080741
19,0,1,0.079258
19,5,1,0.073213
19,10,1,0.077847
19,15,1,0.154361
19,20,1,0.17007
19,25,1,0.175065
19,30,1,0.200255
19,35,1,0.218213
19,40,1,0.212312
19,45,1,0.264997
19,50,1,0.235309
19,55,1,0.246345
20,0,1,0.236064
20,5,1,0.232138
20,10,1,0.192771
20,15,1,0.230688
20,20,1,0.204839
20,25,1,0.145141
20,30,1,0.15488
20,35,1,0.105816
20,40,1,0.122349
20,45,1,0.122751
20,50,1,0.121531
20,55,1,0.125448
21,0,1,0.141831
21,5,1,0.11409
21,10,1,0.117757
21,15,1,0.160442
21,20,1,0.147845
21,25,1,0.143954
21,30,1,0.107446
21,35,1,0.112572
21,40,1,0.113197
21,45,1,0.106407
21,50,1,0.105828
21,55,1,0.111806
22,0,1,0.088975
22,5,1,0.101631
22,10,1,0.090899
22,15,1,0.082424
22,20,1,0.10093
22,25,1,0.081027
22,30,1,0.085148
22,35,1,0.091035
22,40,1,0.070053
22,45,1,0.081473
22,50,1,0.05646
