hour,minute_start,count,jam_sum
0,0,2,0.046598
0,5,2,0.048941
0,10,2,0.067663
0,15,2,0.064994
0,20,2,0.057707
0,25,2,0.06146
0,30,2,0.056784
0,35,2,0.055853
0,40,2,0.045288
0,45,2,0.047112
0,50,2,0.041357
0,55,2,0.041373
1,0,2,0.049639
1,5,2,0.044371
1,10,2,0.033623
1,15,2,0.036801
1,20,2,0.036448
1,25,2,0.035915
1,30,2,0.032647
1,35,2,0.0438
1,40,2,0.035416
1,45,2,0.032069
1,50,2,0.032724
1,55,2,0.032315
2,0,2,0.034096
2,5,2,0.030822
2,10,2,0.031464
2,15,2,0.025547
2,20,1,0.013942
2,25,1,0.012344
2,30,1,0.016206
2,35,1,0.012344
2,40,1,0.014113
2,45,1,0.012306
2,50,1,0.012344
2,55,1,0.013053
3,0,1,0.012344
3,5,1,0.012344
3,10,1,0.012339
3,15,1,0.014951
3,20,1,0.012344
3,25,1,0.01177
3,30,1,0.012684
3,35,1,0.012344
3,40,1,0.012344
3,45,1,0.012344
3,50,1,0.012297
3,55,1,0.012344
4,0,1,0.012344
4,5,1,0.012343
4,10,1,0.012344
4,15,1,0.014043
4,20,1,0.017443
4,25,1,0.017455
4,30,1,0.013613
4,35,1,0.017567
4,40,1,0.018353
4,45,1,0.018352
4,50,1,0.019506
4,55,1,0.018893
5,0,1,0.024641
5,5,1,0.033014
5,10,1,0.019565
5,15,1,0.052688
5,20,1,0.03715
5,25,1,0.053405
5,30,1,0.102864
5,35,1,0.105159
5,40,1,0.186562
5,45,1,0.222915
5,50,1,0.165944
6,0,1,0.41974
6,5,1,0.32842
6,10,1,0.448582
6,15,1,0.335159
6,20,1,0.387201
6,25,1,0.419141
6,30,1,0.309254
6,35,1,0.359317
6,40,1,0.341414
6,45,1,0.414129
6,50,1,0.318508
6,55,1,0.361946
7,0,1,0.389579
7,5,1,0.3125
7,10,1,0.140817
7,15,1,0.139556
7,20,1,0.103228
7,25,1,0.116219
7,30,1,0.133278
7,35,1,0.176617
7,40,1,0.171437
7,45,1,0.161068
7,50,1,0.191099
7,55,1,0.184407
8,0,1,0.128549
8,5,1,0.19899
8,10,1,0.199186
8,15,1,0.170656
8,20,1,0.212899
8,25,1,0.221713
8,30,1,0.182597
8,35,1,0.189172
8,40,1,0.203207
8,45,1,0.159716
8,50,1,0.176185
8,55,1,0.138268
9,0,1,0.162554
9,5,1,0.156487
9,10,1,0.135398
9,15,1,0.130612
9,20,1,0.172724
9,25,2,0.47496
9,30,2,0.340693
9,35,3,0.635225
9,40,3,0.594834
9,45,3,0.536468
9,50,3,1.044213
9,55,2,0.418742
10,0,2,0.357287
10,5,2,0.406276
10,10,3,0.619399
10,15,2,0.399714
10,20,2,0.304137
10,25,2,0.349151
10,30,2,0.426981
10,35,2,0.313947
10,40,2,0.310063
10,45,2,0.376754
10,50,2,0.367248
10,55,1,0.236833
11,0,2,0.369967
11,5,2,0.478986
11,10,2,0.519344
11,15,2,0.397354
11,20,2,0.492378
11,25,3,0.674419
11,30,2,0.331433
11,35,2,0.325204
11,40,2,0.493126
11,45,1,0.165919
11,50,1,0.179983
11,55,1,0.166345
12,0,2,0.210595
12,5,2,0.21953
12,10,2,0.306265
12,15,2,0.291061
12,20,2,0.232382
12,25,2,0.254994
12,30,2,0.835357
12,35,2,0.242115
12,40,2,0.3307
12,45,2,0.43072
12,50,2,0.441457
12,55,2,0.255938
13,0,2,0.272175
13,5,2,0.391206
13,10,2,0.255573
13,15,2,0.317295
13,20,2,0.301467
