hour,minute_start,count,jam_sum
0,0,2,0.062715
0,5,2,0.042117
0,10,2,0.052398
0,15,2,0.065291
0,20,2,0.05155
0,25,2,0.057369
0,30,2,0.052649
0,35,2,0.049301
0,40,2,0.051755
0,45,2,0.04271
0,50,2,0.044994
0,55,2,0.04904
1,0,2,0.043714
1,5,2,0.050801
1,10,2,0.038451
1,15,2,0.039441
1,20,2,0.035841
1,25,2,0.032846
1,30,2,0.041257
1,35,2,0.031727
1,40,2,0.032051
1,45,2,0.032577
1,50,2,0.032164
1,55,2,0.032613
2,0,2,0.029791
2,5,2,0.031012
2,10,2,0.033174
2,15,2,0.033281
2,20,1,0.018442
2,25,1,0.019643
2,30,1,0.014641
2,35,1,0.014059
2,40,1,0.015882
2,45,1,0.015119
2,50,1,0.01442
2,55,1,0.014326
3,0,1,0.014763
3,5,1,0.014651
3,10,1,0.013926
3,15,1,0.015087
3,20,1,0.013926
3,25,1,0.010465
3,30,1,0.013296
3,35,1,0.012834
3,40,1,0.013926
3,45,1,0.013926
3,50,1,0.013515
3,55,1,0.013926
4,0,1,0.013926
4,5,1,0.013926
4,10,1,0.013771
4,15,1,0.013926
4,20,1,0.01407
4,25,1,0.014142
4,30,1,0.016753
4,35,1,0.014142
4,40,1,0.014142
4,45,1,0.014142
4,50,1,0.014142
4,55,1,0.019766
5,0,1,0.014142
5,5,1,0.018368
5,10,1,0.037107
5,15,1,0.019275
5,20,1,0.019966
5,25,1,0.03962
5,30,1,0.046014
5,35,1,0.073404
5,40,1,0.059542
5,45,1,0.073507
5,50,1,0.065557
6,0,1,0.510131
6,5,1,0.546032
6,10,1,0.571872
6,15,1,0.542434
6,20,1,0.45055
6,25,1,0.472508
6,30,1,0.407738
6,35,1,0.408976
6,40,1,0.427037
6,45,1,0.352862
6,50,1,0.35017
6,55,1,0.290644
7,0,1,0.290661
7,5,1,0.298522
7,10,1,0.090289
7,15,1,0.071551
7,20,1,0.107795
7,25,1,0.116366
7,30,1,0.096005
7,35,1,0.125466
7,40,1,0.121172
7,45,1,0.111619
7,50,1,0.131043
7,55,1,0.147324
8,0,1,0.193868
8,5,1,0.126211
8,10,1,0.270097
8,15,1,0.191942
8,20,1,0.369953
8,25,1,0.283139
8,30,1,0.442504
8,35,1,0.457093
8,40,1,0.289318
8,45,1,0.399839
8,50,1,0.526123
8,55,1,0.775904
9,0,1,0.901332
9,5,1,0.89741
9,10,1,0.883547
9,15,1,0.885969
9,20,1,0.853249
9,25,2,1.499267
9,30,2,1.543403
9,35,3,2.023581
9,40,3,2.052302
9,45,3,2.124289
9,50,3,1.590337
9,55,2,1.395925
10,0,2,1.44404
10,5,2,1.490598
10,10,3,2.09517
10,15,2,1.619739
10,20,2,1.573512
10,25,2,1.597336
10,30,2,1.577528
10,35,2,1.602237
10,40,2,1.60492
10,45,2,1.581603
10,50,2,1.57797
10,55,1,0.980872
11,0,2,1.928425
11,5,2,1.94666
11,10,2,1.927782
11,15,2,1.966754
11,20,2,1.750046
11,25,3,2.340489
11,30,2,1.666112
11,35,2,1.618397
11,40,2,1.630501
11,45,1,0.986396
11,50,1,0.989552
11,55,1,0.945937
12,0,2,1.562616
12,5,2,1.644263
12,10,2,1.687265
12,15,2,1.641139
12,20,2,1.563758
12,25,2,1.675311
12,30,2,1.014452
12,35,2,1.63693
12,40,2,1.488405
12,45,2,1.131273
12,50,2,1.249417
12,55,2,1.522088
13,0,2,1.54774
13,5,2,1.335432
13,10,2,1.559119
13,15,2,1.581216
13,20,2,1.622382
13,25,2,1.594891
13,30,2,1.600454
13,35,2,1.608716
13,40,2,1.617279
13,45,2,1.582102
13,50,2,1.672694
13,55,2,1.628571
14,0,2,1.623588
14,5,1,0.897635
14,10,2,1.607858
14,15,2,1.556517
14,20,2,1.633681
14,25,2,1.65193
14,30,2,1.640349
14,35,2,1.654178
14,40,2,1.626278
14,45,2,1.637402
14,50,2,1.51173
14,55,2,1.567188
15,0,3,2.205097
