hour,minute_start,count,jam_sum
11,25,1,0.065935
14,15,1,0.038869
14,20,1,0.048387
14,25,1,0.049456
14,30,1,0.038165
14,35,1,0.043181
14,40,1,0.045717
14,45,1,0.03497
14,50,1,0.044114
14,55,1,0.048743
15,0,2,0.13938
15,5,2,0.118328
15,10,2,0.122789
15,15,1,0.0696
15,20,1,0.074762
15,25,2,0.311423
15,30,2,0.159256
15,35,2,0.381701
15,40,1,0.10641
15,45,1,0.097582
15,50,1,0.103717
15,55,1,0.111333
16,0,1,0.110037
16,5,1,0.115249
16,10,2,0.12251
16,15,2,0.145135
16,30,1,0.01681
16,35,1,0.036051
16,40,1,0.031069
16,55,1,0.098905
17,0,1,0.115272
17,20,1,0.262139
17,25,1,0.28431
17,30,1,0.302227
17,35,1,0.287728
17,40,1,0.279718
17,45,1,0.299795
17,50,1,0.293763
