hour,minute_start,count,jam_sum
14,15,1,0.036386
14,20,1,0.031728
14,25,1,0.03085
14,30,1,0.036773
14,35,1,0.03126
14,40,1,0.035903
14,45,1,0.042328
14,50,1,0.035694
14,55,1,0.036478
15,0,1,0.037997
15,5,1,0.035766
15,10,1,0.031006
15,20,1,0.191286
15,25,1,0.168329
16,10,1,0.027997
16,15,1,0.036844
16,30,1,0.099788
16,35,1,0.099141
16,40,1,0.074034
16,55,1,0.069046
17,0,1,0.039862
17,20,1,0.095307
17,25,1,0.058043
17,30,1,0.117404
17,35,1,0.109283
17,40,1,0.113697
17,45,1,0.074027
17,50,1,0.080985
